City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,taro,-8.3862,115.28,80.6,48,49,5.5,ID,1703052565
1,blackmans bay,-43.0167,147.3167,61.74,60,70,1.99,AU,1703052565
2,udachny,66.4167,112.4,-11.07,85,93,5.12,RU,1703052565
3,adamstown,-25.066,-130.1015,73.15,81,100,15.12,PN,1703052565
4,atafu village,-8.5421,-172.5159,85.24,74,95,10.31,TK,1703052565
5,amga,60.8953,131.9608,-43.58,99,89,0.43,RU,1703052565
6,albany,42.6001,-73.9662,27.59,74,26,3.0,US,1703051987
7,luderitz,-26.6481,15.1594,67.95,52,0,14.03,NA,1703052565
8,chiredzi,-21.05,31.6667,78.01,65,47,9.19,ZW,1703052566
9,papatowai,-46.5619,169.4708,74.03,61,79,4.47,NZ,1703052566
10,dudinka,69.4058,86.1778,7.68,76,100,30.0,RU,1703052566
11,harnoli,32.2792,71.5539,70.18,16,81,4.23,PK,1703052566
12,waitangi,-43.9535,-176.5597,62.82,87,71,5.01,NZ,1703052566
13,great falls,47.5002,-111.3008,45.05,66,0,9.22,US,1703052322
14,port lincoln,-34.7333,135.8667,63.32,55,18,16.49,AU,1703052566
15,mwinilunga,-11.7358,24.4293,67.35,87,100,2.68,ZM,1703052566
16,carnarvon,-24.8667,113.6333,79.27,65,8,12.84,AU,1703052566
17,chibougamau,49.9168,-74.3659,13.62,79,100,14.97,CA,1703052567
18,walvis bay,-22.9575,14.5053,62.1,76,18,6.91,NA,1703052567
19,karratha,-20.7377,116.8463,89.46,45,1,20.85,AU,1703052567
20,uturoa,-16.7333,-151.4333,80.42,81,99,8.68,PF,1703052567
21,ilulissat,69.2167,-51.1,6.82,51,3,14.97,GL,1703052567
22,edinburgh of the seven seas,-37.0676,-12.3116,61.72,95,100,15.12,SH,1703052567
23,prince rupert,54.3161,-130.3201,42.89,100,100,2.3,CA,1703052567
24,puerto natales,-51.7236,-72.4875,47.35,96,50,3.8,CL,1703052567
